任务组编号,X,Y
72,15090,20650
73,15919,22319
73,12982,22494
73,14353,22388
73,12172,22438
73,16929,21638
73,15286,21986
73,15566,24033
74,16847,24243
74,13917,24435
74,15558,24751
74,13118,24506
74,17172,21591
74,15043,24142
75,18574,27951
75,15544,27953
75,16578,27888
75,14530,27958
75,18674,29224
75,15901,27060
76,18101,30402
76,15189,30461
76,16590,30200
76,14502,30546
76,18951,29224
76,16581,29460
77,21050,32073
77,18040,32252
77,18786,32016
77,17011,32623
77,19231,29319
77,17923,31850
78,22046,33832
78,19136,33943
78,19157,33223
78,18320,34142
78,19474,29272
78,18309,32190
79,18217,34831
79,17159,35115
80,16626,33170
80,15392,33423
81,13951,30598
81,12604,30736
82,13982,27539
82,12673,27504
83,12645,24987
83,11315,25172
84,11801,22541
84,10374,22595
85,13511,19741
85,12298,19660
86,11909,16874
86,10523,16662
87,15914,13558
87,14581,13482
88,17815,10830
88,16612,10650
89,20242,8858
89,18999,8567
90,25276,10467
90,24282,10211
91,27957,15926
91,26783,15713
92,31795,15445
92,30733,15223
93,30642,20758
93,29713,20823
94,33361,23890
94,32474,24117
95,31465,20658
95,31302,20665
96,19417,8490
96,19465,8667
97,18542,32145
97,17745,31924
98,17826,32304
98,17613,31461
99,18156,31805
99,16743,31551
99,18360,32304
100,16134,27015
100,15599,27108
100,15621,25484
101,16664,29553
101,16361,28333
102,16032,27084
102,15936,27863
103,17696,31554
103,15736,28779
103,15711,29550
104,15849,28358
104,14761,24503
105,15076,25414
105,14966,24833
106,14687,22965
106,15609,21883
106,15761,24503
107,14949,21976
107,14725,22623
108,15276,24097
108,15585,23028
108,14621,25484
109,15216,24433
109,15320,23427
109,14325,23028
110,15323,20605
110,15467,19588
110,14319,21871
111,13871,18335
111,14730,19121
111,14177,19576
112,14807,19681
112,15723,19121
113,15140,22901
113,15473,19409
114,19967,12415
114,19105,12730
114,20836,12212
115,18175,14919
115,18836,14190
116,19538,12706
116,18411,13720
117,15189,19121
117,18211,14636
117,17222,14916
118,18324,14215
118,20260,12659
119,20171,12177
119,20465,12989
120,20774,11275
120,21260,12659
120,19546,12232
121,20715,12589
121,24448,13045
122,24531,13138
122,25785,13771
123,25099,12465
123,25530,13871
123,23578,13135
124,29106,16209
124,29709,16434
125,30438,16797
125,29284,15964
126,25530,13918
126,29084,16880
126,28153,16206
127,29197,16459
127,30727,17722
128,31116,16649
128,30472,17822
128,30341,16646
129,31971,20315
129,31902,20898
130,31733,21689
130,31477,20428
131,30472,17869
131,31277,21344
131,31018,20312
132,31390,20923
132,31163,22359
133,32329,22590
133,30553,22329
133,31636,21538
134,19928,29213
134,22883,21887
135,17626,21532
135,23238,21896
136,21850,14257
136,21926,22002
137,30382,19816
137,22104,21565
138,31432,20403
138,31291,20556
139,23807,11149
139,23701,10595
140,16466,32553
140,15548,32931
141,15884,13735
141,14871,13475
142,17775,34072
142,17068,34565
143,13985,27888
143,12922,27720
144,12573,24436
144,11522,24700
145,13957,30476
145,12899,30572
146,11678,17475
146,10735,17033
147,27498,16616
147,26806,16221
148,30688,16118
148,30424,15609
149,31719,23364
149,31701,23703
150,11627,22368
150,10615,22373
151,13283,19950
151,12331,19725
152,17485,11278
152,16625,10846
153,19333,9472
153,18826,8906
154,35590,19325
154,36323,19226
155,34607,16669
155,34500,16586
156,31897,14730
156,32523,14248
157,29354,12233
157,29400,11955
158,19113,20048
158,19363,20081
159,20777,31871
159,21231,31980
160,21464,31935
160,21759,32004
161,19596,20036
161,19758,20057
162,36556,19181
162,35977,19224
163,34733,16541
163,35686,16337
164,32756,14203
164,32487,14184
165,29633,11910
165,30080,11655
166,19220,33029
166,18316,31813
167,19019,31971
167,18932,32182
168,20065,31977
168,18048,29882
169,16823,30155
169,16752,30228
170,28642,12339
170,29436,14672
171,29949,15801
171,30052,15041
172,23791,12713
172,23801,11257
173,21658,11112
173,21806,11097
174,19217,17502
174,19184,14905
175,18199,14914
175,17888,15251
176,18827,22527
176,16652,19990
177,16832,20388
177,17268,20359
178,20369,27481
178,17177,24860
179,15791,24706
179,15881,25206
180,26192,11328
180,26893,12175
181,26707,12531
181,27509,12544
182,21575,14976
182,21400,12642
183,20050,12756
183,20104,12988
184,18401,20154
184,16826,17431
185,15275,18015
185,15530,17777
186,19568,24931
186,16436,22456
187,14586,22343
187,14441,22296
188,20439,29953
188,17978,27410
189,16811,27843
189,16682,27756
190,31185,14836
190,32146,16611
191,32389,17103
191,32762,16980
192,33714,22184
192,34097,22121
193,33895,16775
193,33129,19267
194,33437,19803
194,33745,19636
195,34878,19431
195,34726,20848
196,34733,22031
196,36006,20823
197,19390,33178
197,19614,33919
197,18447,32988
198,19892,33714
198,18979,33752
199,18796,32023
199,17983,31993
200,15945,30232
200,15034,30322
201,16300,27724
201,15507,27871
202,14673,24206
202,13780,24163
203,13738,22265
203,12852,22239
204,15353,19978
204,14402,20020
205,13536,17409
205,12501,17421
206,17823,14033
206,16913,14156
207,19226,11452
207,18111,11450
208,21246,9562
208,20080,9452
209,25700,11361
209,24648,11388
210,28948,17025
210,27760,17323
211,32548,16426
211,31505,16565
212,32207,20064
212,31286,20105
213,33431,23172
213,32242,23292
